# chl_car	water	dry_albino	lignin_cellulose	protein
0	6.24E-05	0	0.000102	0.001628
0	6.45E-05	0	0.000102	0.001619
0	6.59E-05	0	0.000102	0.001594
0	6.89E-05	0	1.02E-04	0.00158
0	7.23E-05	0	0.000102	0.001565
0	7.39E-05	0	1.02E-04	0.001546
0	7.69E-05	0	1.03E-04	0.001555
0	8.08E-05	0	1.03E-04	0.001555
0	8.22E-05	0	1.03E-04	0.001555
0	8.62E-05	0	1.03E-04	0.00157
0	8.98E-05	0	1.03E-04	0.001541
0	9.59E-05	0	1.02E-04	0.001541
0	9.59E-05	0	1.00E-04	0.001512
0	9.89E-05	0	1.00E-04	0.001483
0	1.05E-04	0	1.00E-04	0.001458
0	1.20E-04	0	9.92E-05	0.001463
0	1.23E-04	0	9.92E-05	0.001439
0	1.26E-04	0	9.86E-05	0.001424
0	1.31E-04	0	9.74E-05	0.001439
0	1.31E-04	0	9.74E-05	0.001385
0	1.39E-04	0	9.86E-05	0.001458
0	1.41E-04	0	9.92E-05	0.001458
0	1.43E-04	0	1.00E-04	0.001453
0	1.46E-04	0	1.03E-04	0.001458
0	1.56E-04	0	1.05E-04	0.001517
0	1.55E-04	0	1.09E-04	0.001507
0	1.61E-04	0	1.13E-04	0.001551
0	1.64E-04	0	1.18E-04	0.001589
0	1.71E-04	0	1.24E-04	0.001643
0	1.85E-04	0	1.29E-04	0.001755
0	1.85E-04	0	0.000134	0.001769
0	0.000191	0	0.000139	0.001842
0	0.0002	0	0.000141	0.001876
0	0.00021	0	0.000147	0.001881
0	0.000217	0	0.000151	0.001862
0	0.000217	0	0.000153	0.001808
0	0.000217	0	0.000154	0.001886
0	0.000255	0	0.000154	0.00192
0	0.000262	0	0.000153	0.001881
0	0.000264	0	0.00015	0.001832
